library,count
newsapi,109.0
translate,117.0
lime,110.0
pymodbus,105.0
scp,108.0
cookiecutter,111.0
llama_index,111.0
cytoolz,105.0
eel,107.0
rouge_score,108.0
mastodon,108.0
model_bakery,109.0
decorator,108.0
django_braces,105.0
wifi,107.0
django_extensions,112.0
piexif,108.0
sha3,107.0
launch,107.0
model_mommy,106.0
pybind11,105.0
func_timeout,110.0
community,106.0
chromedriver_autoinstaller,107.0
deep_translator,110.0
fbprophet,108.0
ics,111.0
chromedriver_binary,107.0
aio_pika,106.0
pysftp,109.0
jupyter_client,105.0
torch_optimizer,104.0
holoviews,104.0
annoy,111.0
telegraph,104.0
corner,107.0
httpretty,104.0
medpy,109.0
redbot,104.0
django_tables2,105.0
spellchecker,102.0
pygal,102.0
chalice,103.0
opencc,105.0
feedgen,102.0
shiboken2,102.0
iso8601,101.0
musicbot,101.0
matlab,103.0
mdtraj,101.0
kenlm,104.0
udacity_pa,100.0
Numeric,99.0
aiorpcx,101.0
quart_cors,106.0
dm_env,99.0
prophet,104.0
argon2,103.0
jmespath,101.0
mnemonic,100.0
pandas_profiling,101.0
autobahn_rce,101.0
flask_security,100.0
aiohttp_wsgi,98.0
pudb,100.0
strawberry,99.0
simpy,102.0
quaternion,102.0
flashlight,104.0
pytest_django,101.0
mmh3,98.0
deprecated,100.0
rawpy,104.0
rlp,98.0
xlwings,98.0
aiopg,98.0
impacket,100.0
djoser,100.0
minio,98.0
pynvrtc,97.0
sumy,96.0
arabic_reshaper,95.0
adjustText,98.0
tgt,98.0
safetensors,97.0
fakeredis,99.0
pySmartDL,101.0
fuzzysearch,95.0
pymssql,99.0
dj_rest_auth,97.0
gmpy2,96.0
backtrader,94.0
Box2D,97.0
hikari,98.0
transitions,93.0
stem,98.0
napari,97.0
pymunk,95.0
dependency_injector,96.0
jikanpy,97.0
monai,98.0
haiku,96.0
docstring_parser,95.0
pycoingecko,95.0
keras_applications,94.0
mitmproxy,92.0
InquirerPy,93.0
esp,94.0
contractions,91.0
construct,95.0
parsedatetime,96.0
ijson,97.0
cog,94.0
random_word,92.0
pyvis,91.0
jellyfish,93.0
phonemizer,94.0
pdfrw,97.0
deepface,91.0
apache_beam,93.0
markdownify,93.0
grequests,92.0
pyDOE,91.0
pwn,95.0
ta,95.0
konlpy,95.0
validate_email,95.0
keys,95.0
flask_graphql,91.0
pymc3,93.0
tools,92.0
twitchio,92.0
inputs,93.0
umongo,91.0
vispy,90.0
eth_keys,90.0
geoalchemy2,93.0
captum,93.0
xxhash,93.0
flake8,90.0
bidict,93.0
aiohttp_session,89.0
caffe2,94.0
pony,90.0
gin,94.0
gevent_websocket,90.0
cassandra_driver,91.0
Adafruit_SSD1306,90.0
qdrant_client,90.0
dht,91.0
oss2,91.0
pycocoevalcap,90.0
ordered_set,93.0
prefect,90.0
bert_score,92.0
python_frontmatter,90.0
rocket,87.0
dj_static,88.0
connectors,88.0
webdataset,89.0
rioxarray,91.0
xhtml2pdf,89.0
cpt,87.0
amodem,88.0
ibm_watson,88.0
numarray,86.0
healpy,92.0
gitlab,91.0
yahoo_fin,89.0
json5,90.0
lifelines,88.0
clint,89.0
frappe,92.0
kneed,90.0
Adafruit_PCA9685,88.0
pyopencl,87.0
pytest_factoryboy,87.0
pygsheets,84.0
pygit2,89.0
sqlitedict,86.0
urwid,86.0
send2trash,89.0
trains,86.0
Flask_Bcrypt,90.0
mariadb,87.0
mtrand,85.0
fastapi_utils,86.0
pywikibot,89.0
snowflake,85.0
MDAnalysis,85.0
genapi,84.0
rlbot,87.0
d4rl,86.0
adafruit_ssd1306,90.0
pyb,86.0
zeroconf,83.0
pybedtools,83.0
pefile,89.0
torchdiffeq,85.0
descartes,88.0
constants,83.0
pytablewriter,86.0
simuleval,87.0
blessed,87.0
chrisapp,83.0
pytimeparse,84.0
funcy,84.0
duckduckgo_search,87.0
pylru,84.0
pympler,82.0
mcstatus,83.0
flask_babelex,84.0
frozendict,83.0
premailer,87.0
brotlicffi,86.0
sshtunnel,85.0
adsk,83.0
ddt,82.0
idna,86.0
bme280,84.0
braintree,88.0
supervisor,86.0
apache_libcloud,81.0
django_redis,83.0
winshell,82.0
word2number,86.0
thefuzz,85.0
ui,87.0
xlutils,84.0
flask_jwt,84.0
blobfile,85.0
intervaltree,82.0
secureme,88.0
utm,81.0
ntplib,81.0
MPI,80.0
meshio,81.0
arxiv,84.0
xmlschema,83.0
torrequest,90.0
livereload,81.0
pytorch_msssim,83.0
